kappa_target,kappa_optimized,error_optimization,geometry,kappa_BTE,error_model,error_total
12.0,12.149303436279297,0.0124419527128338,"[1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",15.891027916247484,0.30797851906430646,0.324252326353957
15.0,15.000338554382324,2.2570291548618115e-05,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",15.006056796933283,0.00038120756609777906,0.00040378646221886545
20.0,19.99918556213379,4.072189403814264e-05,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",21.32695146269503,0.06639099859522353,0.06634757313475141
30.0,29.999874114990234,4.19616708313697e-06,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]",29.859485982536274,0.004679624051615996,0.004683800582124201
45.0,45.012508392333984,0.0002779642818495,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",52.90681030618009,0.17538018199382494,0.1757068956928909
60.0,56.32656478881836,0.0612239204347133,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",157.07577051605483,1.7886623497273288,1.6179295086009138
90.0,56.32656478881836,0.3741492927074432,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",157.07577051605483,1.7886623497273288,0.7452863390672759
