kappa_target,kappa_optimized,error_optimization,geometry,kappa_BTE,error_model,error_total
12.0,12.03224754333496,0.0026872952003031,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",12.936447165271897,0.07514802356587173,0.07803726377265807
15.0,15.00006866455078,4.57763690064894e-06,"[0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]",14.139552199560073,0.05736750172513138,0.0573631866959951
20.0,20.00038719177246,1.9359587895451117e-05,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0]",24.95143920532454,0.24754780825387163,0.24757196026622702
30.0,29.99858283996582,4.723866732092574e-05,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",26.074837794134517,0.13079768023587657,0.1308387401955161
45.0,45.002906799316406,6.459553696913645e-05,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",42.38739719838216,0.05811868136868829,0.05805784003595199
60.0,60.00788879394531,0.0001314799010287,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",67.19948327532987,0.1198441509262058,0.11999138792216447
90.0,65.33601379394531,0.2740443050861358,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",157.07577051605483,1.4041223422572964,0.7452863390672759
