kappa_target,kappa_optimized,error_optimization,geometry,kappa_BTE,error_model,error_total
12.013442,12.035998935003123,0.0018776380190815,"[0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]",14.195848055134869,0.17944909531775274,0.18166367766497474
15.002009,15.00341324643647,9.357777449268678e-05,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",14.093882913648436,0.06062156109737633,0.060533631619042724
20.000076,20.0005841031587,2.539036381287633e-05,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1]",20.450795456984864,0.022509910285823123,0.02253588721287177
24.998857,24.997845663238408,4.04752469432397e-05,"[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",24.509941962264644,0.019517829958093955,0.019557495678116668
30.000193,30.00132831248276,3.785543260979983e-05,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0]",28.006406491427803,0.06649444985490596,0.06645912273205029
44.98466,44.98306111993388,3.55672872005084e-05,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",42.89805889791433,0.04635083007046835,0.04638472541719035
59.99268,59.99248022894964,3.3231887451932586e-06,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",61.508529186427296,0.025270649782971992,0.025267235709878207
90.87158,83.81263002418213,0.0776805228794229,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",157.07577051605483,0.8741300740799374,0.7285467086195139
